name,url,bedrooms,bathrooms,floors,land_area,building_area,longitude,latitude,price
Rumah siap huni dalam cluster exclusive,https://www.lamudi.co.id/rumah-siap-huni-dalam-cluster-exclusive-169692798484.html,2.0,1.0,2.0,120.0,60.0,107.69666,-6.91405,30000000.0
"Disewakan Cipedes Tengah Culdesac , Full Furnish",https://www.lamudi.co.id/disewakan-cipedes-tengah-culdesac-full-furnish-169692843364.html,3.0,2.0,1.0,220.0,300.0,107.6212817,-6.9548746,80000000.0
Disewakan Rumah Bagus Di Kenari Residence Kebon Kopi Bandung,https://www.lamudi.co.id/disewakan-rumah-bagus-di-kenari-residence-kebon-ko-169032657032.html,3.0,2.0,1.0,75.0,72.0,107.40889,-6.73389,50000000.0
Disewakan Rumah Di Kota Baru Parahyangan Tatar Chandrabuana,https://www.lamudi.co.id/disewakan-rumah-di-kota-baru-parahyangan-tatar-cha-169696755081.html,4.0,3.0,1.0,,205.0,107.467209,-6.844347,165000000.0
Rumah di Taman Holis 2 (THI 2) Air Sible,https://www.lamudi.co.id/rumah-di-taman-holis-2-thi-2-air-sible-169710914739.html,3.0,1.0,1.0,114.0,60.0,107.557241,-6.942272,37500000.0
Disewakan Rumah Siap Huni di Setiabudi Regency Bandung.,https://www.lamudi.co.id/disewakan-rumah-siap-huni-di-setiabudi-regency-ban-170126461777.html,4.0,3.0,1.0,250.0,220.0,107.5962237,-6.8623061,68000000.0
Disewakan rumah siap huni dengan kolam renang nyaman,https://www.lamudi.co.id/disewakan-rumah-siap-huni-dengan-kolam-renang-nyam-169165570861.html,3.0,1.0,1.0,100.0,60.0,107.68467,-6.90119,60000000.0
Sewa Rumah Podomoro Park Klaster Anapuri dengan View Dekat Danau,https://www.lamudi.co.id/sewa-rumah-podomoro-park-klaster-anapuri-dengan-vi-169656545135.html,4.0,3.0,2.0,160.0,156.0,107.63361,-6.98056,85000000.0
disewakan rumah baru komplek pondok hijau non furnish,https://www.lamudi.co.id/disewakan-rumah-baru-komplek-pondok-hijau-non-furn-16969368979.html,3.0,2.0,1.0,123.0,150.0,107.5962237,-6.8623061,120000000.0
"Rumah Sewa Strategis,Lokasi dekat Tol Pasteur dan Univ.Maranatha",https://www.lamudi.co.id/rumah-sewa-strategis-lokasi-dekat-tol-pasteur-dan-169051900487.html,3.0,2.0,1.0,400.0,240.0,107.607608,-6.890485,90000000.0
Rumah 3 Lantai Maple Town House Furnish Dekat Tol Pasteur Kota Bandung,https://www.lamudi.co.id/rumah-3-lantai-maple-town-house-furnish-dekat-tol-169323053422.html,3.0,3.0,3.0,151.0,240.0,107.601804,-6.91017,120000000.0
disewakan rumah menghadap benteng di Cluster Cynthia Summarecon Bdg,https://www.lamudi.co.id/disewakan-rumah-menghadap-benteng-di-cluster-cynth-169520296584.html,3.0,4.0,1.0,105.0,135.0,107.69677,-6.96266,58000000.0
DISEWAKAN RUMAH MINIMALIS SETRA DUTA PASTEUR,https://www.lamudi.co.id/disewakan-rumah-minimalis-setra-duta-pasteur-169233262439.html,4.0,3.0,1.0,144.0,200.0,107.607608,-6.890485,79000000.0
"pasteur cluster nyaman strategis, siap huni BU CPT",https://www.lamudi.co.id/pasteur-cluster-nyaman-strategis-siap-huni-bu-cpt-169534924336.html,2.0,1.0,1.0,106.0,100.0,107.607608,-6.890485,42000000.0
"akses tol pasteur, murah harga nego, siapa cepat ",https://www.lamudi.co.id/akses-tol-pasteur-murah-harga-nego-siapa-cepat-169045463574.html,4.0,2.0,1.0,198.0,150.0,107.5716434192,-6.8870511449677,75000000.0
Rumah Sewa Nata Endah dekat Kopo Permai Siap Huni dan dkt Tol Kopo,https://www.lamudi.co.id/rumah-sewa-nata-endah-dekat-kopo-permai-siap-huni-169179433086.html,4.0,2.0,1.0,140.0,120.0,107.57511,-6.96086,30000000.0
Disewakan Rumah Fully Furnished di Dago dengan View Terbaik Harga Oke,https://www.lamudi.co.id/disewakan-rumah-fully-furnished-di-dago-dengan-vie-169510890399.html,2.0,2.0,1.0,150.0,70.0,107.61649,-6.879,75000000.0
Disewakan Rumah Cantik Furnish Siap Huni di Cluster Btari Summarecon,https://www.lamudi.co.id/disewakan-rumah-cantik-furnish-siap-huni-di-cluste-169693111195.html,3.0,3.0,1.0,162.0,181.0,107.687404,-6.948904,90000000.0
DISEAKAN RUMAH MINIMALIS NYAMAN DENG KOLAM RENANG,https://www.lamudi.co.id/diseakan-rumah-minimalis-nyaman-deng-kolam-renang-169172329398.html,1.0,1.0,,153.0,80.0,107.57585019069,-6.9128015773096,80000000.0
Disewakan Rumah Furnish di Cluster Btari Summarecon,https://www.lamudi.co.id/disewakan-rumah-furnish-di-cluster-btari-summareco-169693109211.html,3.0,2.0,1.0,162.0,124.0,107.687404,-6.948904,80000000.0
DIJUAL / DISEWAKAN RUMAH  2 LANTAI TAMAN KOPO INDAH 3 KOPO BANDUNG,https://www.lamudi.co.id/dijual-disewakan-rumah-2-lantai-taman-kopo-indah-3-169457410710.html,3.0,2.0,,102.0,135.0,106.904854,-6.653733,38000000.0
Dikontrakan Rumah 2lt Di komp Baranangsiang Ciparay dkt Baleendah,https://www.lamudi.co.id/dikontrakan-rumah-2lt-di-komp-baranangsiang-cipara-169457827645.html,5.0,2.0,1.0,90.0,90.0,107.62778,-7.01167,19000000.0
